,0
2019-1,47994481.68399999
2019-2,46056897.081999995
2019-3,45952883.042
2019-4,42442663.202
2019-5,42226601.177999996
2019-6,41517181.47800001
2019-7,10559501.579999998
2019-8,10812156.15
2019-9,11189960.3
2019-10,12544303.53
2019-11,12171023.57
2019-12,16373104.950000001
2020-1,12298442.679999998
2020-2,12360989.24
2020-3,12050193.479999999
2020-4,12128191.010000002
2020-5,12531437.649999999
2020-6,12896905.000000002
2020-7,31760127.390000008
2020-8,31484258.87
2020-9,33114411.249999993
2020-10,34172971.27
2020-11,37416660.73000003
2020-12,47950414.559999995
2021-1,41509131.8
2021-2,41738518.96
2021-3,39379047.580000006
2021-4,36842060.21999999
2021-5,34672227.610000014
2021-6,37033387.90999999
2021-7,32568127.419999998
2021-8,31859471.110000007
2021-9,35325035.760000005
2021-10,36495103.18000001
2021-11,39177585.31000001
2021-12,52379388.4
