,0
2019-1,80502493.20000002
2019-2,75413303.14999998
2019-3,75506471.95
2019-4,69616370.74
2019-5,69245384.61999999
2019-6,68984141.91000001
2019-7,19635660.799999997
2019-8,20992787.29
2019-9,20809470.64
2019-10,23450498.97
2019-11,22226883.44
2019-12,30281200.349999998
2020-1,23281208.370000005
2020-2,22586048.41
2020-3,23063038.99
2020-4,22391919.639999997
2020-5,25452742.54
2020-6,24331609.29
2020-7,44160812.14
2020-8,43360135.65000001
2020-9,45314465.24000002
2020-10,48901137.01000001
2020-11,51830289.359999985
2020-12,66110539.040000014
2021-1,75961141.41999999
2021-2,77671006.93
2021-3,74012202.97000001
2021-4,67758860.72999999
2021-5,65444388.870000005
2021-6,69009301.36
2021-7,58112395.400000006
2021-8,57404815.269999996
2021-9,64568207.34
2021-10,69023395.89999999
2021-11,74073940.50000001
2021-12,100040692.68000004
