,0
2019-1,80502493.20000002
2019-2,75413303.14999998
2019-3,75506471.95
2019-4,69616370.74
2019-5,69245384.61999999
2019-6,68984141.91000001
2019-7,50693176.46000001
2019-8,50272063.962000005
2019-9,51515741.548
2019-10,54961010.397999994
2019-11,56396533.988000005
2019-12,57445255.33
2020-1,57948906.907
2020-2,54158766.487
2020-3,49558367.847
2020-4,40798091.291999996
2020-5,42446051.95900001
2020-6,47936391.308
2020-7,115876053.17
2020-8,117023920.16
2020-9,117218074.7
2020-10,124508051.15
2020-11,125141884.35999998
2020-12,131998405.06
2021-1,150119868.71
2021-2,145345389.65
2021-3,148997978.47
2021-4,136714234.4
2021-5,136092177.46
2021-6,141667792.17000002
2021-7,151995840.07
2021-8,138714999.69999996
2021-9,143154956.0
2021-10,151934066.93
2021-11,157667936.14000002
2021-12,177866412.31
